code,name,country,city,state,city_code
AAA,Anaa,PF,,,AAA
AAB,Arrabury Airport,AU,Tanbar,Queensland,AAB
AAC,El Arish International Airport,EG,Arish,Muhafazat Shamal Sina',AAC
AAD,Adado Airport,SO,Adado,,AAD
AAE,Les Salines Airport,DZ,El Hadjar,Annaba,AAE
AAF,Apalachicola Regional,US,Apalachicola,Florida,AAF
AAG,Arapoti,BR,Jaguariaiva,Parana,AAG
AAH,Aachen/Merzbruck,DE,,,AAH
AAI,Arraias,BR,Campos Belos,Goias,AAI
AAJ,Cayana Airstrip,SR,Kajana,Sipaliwini,AAJ
AAK,Aranuka,KI,,,AAK
AAL,Aalborg Airport,DK,Vadum,North Denmark,AAL
AAM,Mala Mala,ZA,,,AAM
AAN,Al Ain Airport,AE,,,AAN
AAO,Anaco,VE,Anaco,Anzoategui,AAO
AAP,Aji Pangeran Tumenggung Pranoto International Airport,ID,,,AAP
AAQ,Anapa Airport,RU,Anapa,Krasnodarskiy,AAQ
AAR,Aarhus Airport,DK,Ebeltoft,Central Jutland,AAR
AAS,Apalapsili,ID,,,AAS
AAT,Altay Airport,CN,Awiytan,Xinjiang Uygur Zizhiqu,AAT
AAU,Asau,WS,Asau,Vaisigano,AAU
AAV,Allah Valley,PH,Surallah,South Cotabato,AAV
AAW,Abbottabad,PK,Abbottabad,Khyber Pakhtunkhwa,AAW
AAX,Araxa Airport,BR,Araxa,Minas Gerais,AAX
AAY,Al Ghaydah,YE,Al Ghayzah,Al Mahrah,AAY
AAZ,Quetzaltenango,GT,Olintepeque,Quetzaltenango,AAZ
ABA,Abakan Airport,RU,Podsineye,Khakasiya,ABA
ABB,Asaba International Airport,NG,Asaba,,ABB
ABC,Los Llanos,ES,,,ABC
ABD,Abadan Airport,IR,Abadan,Khuzestan,ABD
ABE,Lehigh Valley International Airport,US,Catasauqua,Pennsylvania,ABE
ABF,Abaiang,KI,Buota Village,Gilbert Islands,ABF
ABG,Abingdon,AU,,,ABG
ABH,Alpha,AU,,,ABH
ABI,Abilene Regional Airport,US,,,ABI
ABJ,Felix Houphouet Boigny Airport,CI,Abidjan,Lagunes,ABJ
ABK,Kabri Dar,ET,,,ABK
ABL,Ambler Airport,US,,,ABL
ABM,Northern Peninsula Airport,AU,,,ABM
ABN,Albina,SR,,,ABN
ABO,Aboisso,CI,Aboisso,Sud-Comoe,ABO
ABP,Atkamba,PG,,,ABP
ABQ,Albuquerque International Sunport,US,Albuquerque,New Mexico,ABQ
ABR,Aberdeen Municipal Airport,US,Aberdeen,South Dakota,ABR
ABS,Abu Simbel,EG,,,ABS
ABT,Al-Aqiq Airport,SA,Al Bahah,Mintaqat al Bahah,ABT
ABU,Haliwen Airport,ID,Atambua,East Nusa Tenggara,ABU
ABV,Nnamdi Azikiwe International Airport,NG,Madala,Abuja Federal Capital Territory,ABV
ABW,Abau,PG,,,ABW
ABX,Albury Airport,AU,East Albury,New South Wales,ABX
ABY,Southwest Georgia Regional Airport,US,,,ABY
ABZ,Aberdeen International Airport,GB,Dyce,Scotland,ABZ
ACA,Acapulco International Airport,MX,10 de Abril,Guerrero,ACA
ACB,Antrim County,US,Bellaire,Michigan,ACB
ACC,Kotoka International Airport,GH,Accra,Greater Accra,ACC
ACD,Acandi,CO,,,ACD
ACE,Lanzarote Airport,ES,Tias,Canary Islands,ACE
ACF,Alaer Talimu Airport,CN,Aral,Xinjian Autonomous Region,ACF
ACH,Altenrhein Airport,CH,Rheineck,Saint Gallen,ACH
ACI,Alderney Airport,GB,Beaumont-Hague,Lower Normandy,ACI
ACJ,Anuradhapura,LK,Anuradhapura,North Central,ACJ
ACK,Nantucket Memorial Airport,US,Nantucket,Massachusetts,ACK
ACL,Aguaclara,CO,Sabanalarga,Casanare,ACL
ACM,Arica,CO,Pebas,Loreto,ACM
ACN,International,MX,,,ACN
ACO,Cobano Airport,CR,Cobano,Puntarenas Province,ACO
ACP,Sahand,IR,Bonab,East Azerbaijan,ACP
ACR,Araracuara,CO,,,ACR
ACS,Achinsk,RU,Achinsk,Krasnoyarskiy,ACS
ACT,Waco Municipal Airport,US,Gholson,Texas,ACT
ACU,Achutupo,PA,Portobelo,Colon,ACU
ACV,Arcata-Eureka Airport,US,McKinleyville,California,ACV
ACX,Xingyi Airport,CN,Xinzhou,Guangxi Zhuangzu Zizhiqu,ACX
ACY,Atlantic City International Airport,US,Pomona,New Jersey,AIY
ACZ,Zabol Airport,IR,Zabol,Sistan and Baluchestan,ACZ
ADA,Adana Airport,TR,Seyhan,Adana,ADA
ADB,Izmir Adnan Menderes Airport,TR,,,IZM
ADC,Andakombe,PG,,,ADC
ADD,Addis Ababa Bole International Airport,ET,Addis Ababa,Adis Abeba,ADD
ADE,International,YE,Khawr Maksar,Aden,ADE
ADF,Adiyaman Airport,TR,Adiyaman,Adiyaman,ADF
ADG,Lenawee County,US,Adrian,Michigan,ADG
ADH,Aldan,RU,Aldan,Sakha,ADH
ADI,Arandis,,Arandis,Erongo,ADI
ADJ,Marka International Airport,JO,Amman,Amman,AMM
ADK,Adak Island Ns,US,,,ADK
ADL,Adelaide Airport,AU,Plympton,South Australia,ADL
ADM,Ardmore Municipal Airport,US,Dickson,Oklahoma,ADM
ADN,Andes,CO,Los Andes,Antioquia,ADN
ADO,Andamooka,AU,,,ADO
ADP,Ampara,LK,,,ADP
ADQ,Kodiak Benny Benson State Airport,US,,,ADQ
ADR,Andrews,US,Andrews,South Carolina,ADR
ADS,Addison Airport,US,Haltom City,Texas,DFW
ADT,Ada Municipal,US,Ada,Oklahoma,ADT
ADU,Ardabil Airport,IR,Namin,Ardabil,ADU
ADV,El Daein,SD,El Daein,Eastern Darfur,ADV
ADW,Andrews AFB,US,Andrews AFB,Maryland,ADW
ADX,Leuchars,GB,Leuchars,Scotland,ADX
ADY,Alldays,ZA,,,ADY
ADZ,Gustavo Rojas Pinilla Airport,CO,San Andres,"Archipielago de San Andres, Providencia y Santa Catalina",ADZ
AEA,Abemama Atoll,KI,,,AEA
AEB,Youjiang,CN,Tianzhou,Guangxi Zhuangzu Zizhiqu,AEB
AED,Aleneva,US,,,AED
AEE,Adareil Airport,SS,,,AEE
AEG,Aek Godang,ID,Padangsidempuan,North Sumatra,AEG
AEH,Abéché,TD,Abeche,Ouaddai,AEH
AEI,Algeciras,ES,Algeciras,Andalusia,AEI
AEK,Aseki,PG,,,AEK
AEL,Albert Lea,US,Albert Lea,Minnesota,AEL
AEM,Amgu,RU,,,AEM
AEO,Aioun El Atrouss,MR,,,AEO
AEP,Jorge Newbery Airport,AR,Colegiales,Buenos Aires F.D.,BUE
AEQ,Ar Horqin Airport,CN,Tianshan,Inner Mongolia,AEQ
AER,Sochi International Airport,RU,Orel-Izumrud,Krasnodarskiy,AER
AES,Vigra Alesund Airport,NO,Valderoy,More og Romsdal,AES
AET,Allakaket,US,,,AET
AEU,Abu Musa,IR,,,AEU
AEX,Alexandria International Airport,US,Alexandria,Louisiana,AEX
AEY,Akureyri Airport,IS,Akureyri,Northeast,AEY
AFA,San Rafael Airport,AR,San Rafael,Mendoza,AFA
AFD,Port Alfred,ZA,,,AFD
AFF,USAF Academy Airstrip,US,Cimarron Hills,Colorado,COS
AFI,Amalfi,CO,Amalfi,Antioquia,AFI
AFK,Ampara Kondavattavan Tank Airport,LK,Ampara,,ADP
AFL,Alta Floresta Airport,BR,,,AFL
AFN,Municipal,US,Jaffrey,New Hampshire,AFN
AFO,Municipal,US,Afton,Wyoming,AFO
AFR,Afore,PG,,,AFR
AFS,Zarafshan,UZ,Tomdibuloq,Navoiy,AFS
AFT,Afutara Aerodrome,SB,,,AFT
AFW,Fort Worth Alliance Airport,US,Haslet,Texas,DFW
AFY,Afyon,TR,Afyonkarahisar,Afyonkarahisar,AFY
AFZ,Sabzevar,IR,Sabzevar,Razavi Khorasan,AFZ
AGA,Agadir Al Massira Airport,MA,Inezgane,Souss-Massa-Draa,AGA
AGB,Augsburg Airport,DE,Rehling,Bavaria,MUC
AGC,Allegheny County Airport,US,Pleasant Hills,Pennsylvania,PIT
AGD,Anggi,ID,Warmare,West Papua,AGD
AGE,Flugplatz,DE,Wangerooge,Lower Saxony,AGE
AGF,La Garenne Airport,FR,Le Passage,Aquitaine,AGF
AGG,Angoram,PG,,,AGG
AGH,Angelholm Helsingborg Airport,SE,,,AGH
AGI,Wageningen,SR,Wageningen,Nickerie,AGI
AGJ,Aguni,JP,,,AGJ
AGK,Kagua,PG,,,AGK
AGL,Wanigela,PG,,,AGL
AGM,Tasiilaq,GL,,,AGM
AGN,Angoon,US,,,AGN
AGO,Municipal,US,Magnolia,Arkansas,AGO
AGP,Malaga Airport,ES,,,AGP
AGQ,Agrinion,GR,Dhokimion,West Greece,AGQ
AGR,Kheria,IN,Agra,Uttar Pradesh,AGR
AGS,Augusta Regional Airport,US,,,AGS
AGT,Alejo Garcia Airport,PY,Colonia Yguazu,Alto Parana,AGT
AGU,Aguascalients International Airport,MX,Penuelas (El Cienegal),Aguascalientes,AGU
AGV,Acarigua,VE,Araure,Portuguesa,AGV
AGW,Agnew,AU,,,AGW
AGX,Agatti Island Airport,IN,Kavaratti,Laccadives,AGX
AGZ,Aggeneys,ZA,Pofadder,Northern Cape,AGZ
AHA,Naha AFB,JP,,,OKA
AHB,Abha Regional Airport,SA,,,AHB
AHC,Amedee AAF,US,Janesville,California,AHC
AHD,Downtown,US,Ardmore,Oklahoma,ADM
AHE,Ahe Airport,PF,,,AHE
AHF,Municipal,US,Arapahoe,Nebraska,AHF
AHG,Agalega Island Airstrip,MU,,,AHG
AHH,Municipal,US,Amery,Wisconsin,AHH
AHI,Amahai,ID,Amahai,Maluku,AHI
AHJ,Hongyuan Airport,CN,Qiongxi,Sichuan,AHJ
AHL,Aishalton,GY,,,AHL
AHM,Sumner Parker Field,US,Ashland,Oregon,AHM
AHN,Athens-Ben Epps,US,Winterville,Georgia,AHN
AHO,Alghero-Fertilia Airport,IT,Alghero,Sardinia,AHO
AHS,Ahuas,HN,Wawina,Gracias a Dios,AHS
AHU,Charif Al Idrissi Airport,MA,Imzourene,Taza-Al Hoceima-Taounate,AHU
AHW,Saih Rawl,OM,,,AHW
AHY,Ambatolahy,MG,,,AHY
AHZ,Alpe D Huez,FR,Huez,Rhone-Alpes,AHZ
AIA,Alliance Airport,US,Alliance,Nebraska,AIA
AIC,Airok,MH,,,AIC
AID,Municipal,US,Anderson,Indiana,AID
AIE,Aiome,PG,,,AIE
AIF,Assis,BR,Assis,Sao Paulo,AIF
AIG,Yalinga,CF,,,AIG
AIH,Aiambak,PG,,,AIH
AII,Alisabieh,DJ,'Ali Sabieh,Ali Sabieh,AII
AIK,Municipal,US,Aiken,South Carolina,AIK
AIL,Ailigandi,PA,Ailigandi,Guna Yala,AIL
AIM,Ailuk Island,MH,,,AIM
AIN,Wainwright,US,,,AIN
AIO,Municipal,US,Atlantic,Iowa,AIO
AIP,Ailinglapalap Island,MH,,,AIP
AIR,Aripuana,BR,,,AIR
AIS,Arorae Island,KI,Kulia Village,Niutao,AIS
AIT,Aitutaki Airport,CK,,,AIT
AIU,Atiu Island,CK,,,AIU
AIV,George Downer,US,Aliceville,Alabama,AIV
AIW,Ai-ais,,,,AIW
AIY,Bader Field,US,,,AIY
AIZ,Lee C Fine Memorial,US,,,AIZ
AJA,Ajaccio Napoleon Bonaparte Airport,FR,Ajaccio,Corsica,AJA
AJF,Jouf Airport,SA,Sakaka,Al Jawf,AJF
AJI,Agri Airport,TR,Hamur,Agri,AJI
AJJ,Akjoujt,MR,Akjoujt,Inchiri,AJJ
AJK,Araak,IR,Arak,Markazi,AJK
AJL,Aizawl Airport,IN,Sairang,Mizoram,AJL
AJN,Ouani,KM,Ouani,Anjouan,AJN
AJR,Arvidsjaur Airport,SE,Arvidsjaur,Norrbotten,AJR
AJS,Abreojos,MX,Bahia Asuncion,Baja California Sur,AJS
AJU,Aracaju Airport,BR,Aracaju,Sergipe,AJU
AJY,Agades,NE,Agadez,Agadez,AJY
AKA,Ankang,CN,Ankang,Shaanxi,AKA
AKB,Atka,US,,,AKB
AKC,Fulton International,US,Sawyerwood,Ohio,CAK
AKD,Akola,IN,Akola,Maharashtra,AKD
AKE,Akieni,GA,,,AKE
AKF,Kufrah,LY,Al Jawf,Al Kufrah,AKF
AKG,Anguganak,PG,,,AKG
AKH,Prince Sultan Air Base,SA,Ad Dilam,Ar Riyad,AKH
AKI,Akiak,US,,,AKI
AKJ,Asahikawa Airport,JP,Asahikawa,Hokkaido,AKJ
AKK,Akhiok SPB,US,,,AKK
AKL,Auckland Airport,NZ,Mangere,Auckland,AKL
AKM,Zakouma,TD,,,AKM
AKN,King Salmon Airport,US,,,AKN
AKO,Colorado Plains Regional Airport,US,Akron,Colorado,AKO
AKP,Anaktuvuk,US,,,AKP
AKQ,Gunung Batin,ID,Menggala,Lampung,AKQ
AKR,Akure,NG,Owena,Ondo,AKR
AKS,Gwaunaru'u,SB,,,AKS
AKT,Raf Akrotiri,CY,Kolossi,Larnaka,AKT
AKU,Aksu Airport,CN,,,AKU
AKV,Akulivik,CA,,,AKV
AKW,Aghajari,IR,Omidiyeh,Khuzestan,AKW
AKX,Aktyubinsk Airport,KZ,Aqtobe,Aqtoebe,AKX
AKY,Civil Airport,MM,,,AKY
ALA,Almaty Airport,KZ,Pervomayskiy,Almaty Oblysy,ALA
ALB,Albany International Airport,US,Colonie,New York,ALB
ALC,Alicante-Elche Airport,ES,,,ALC
ALD,Alerta,PE,,,ALD
ALE,Alpine,US,Alpine,Texas,ALE
ALF,Alta Airport,NO,Alta,Finnmark Fylke,ALF
ALG,Houari Boumediene Airport,DZ,Dar el Beida,Alger,ALG
ALH,Albany Airport,AU,Albany,Western Australia,ALH
ALI,International,US,Alice,Texas,ALI
ALJ,Alexander Bay Airport,ZA,,,ALJ
ALK,Asela,ET,Huruta,Oromiya,ALK
ALL,Albenga,IT,Albenga,Liguria,ALL
ALM,Municipal,US,Boles Acres,New Mexico,ALM
ALN,Alton,US,Bethalto,Illinois,ALN
ALO,Waterloo Airport,US,Cedar Falls,Iowa,ALO
ALP,Nejrab,SY,Aleppo,Aleppo,ALP
ALQ,Federal,BR,Alegrete,Rio Grande do Sul,ALQ
ALR,Alexandra,NZ,,,ALR
ALS,Alamosa Municipal Airport,US,Alamosa,Colorado,ALS
ALT,Alenquer,BR,Alenquer,Para,ALT
ALU,Alula,SO,Bereeda,Bari,ALU
ALW,Walla Walla Airport,US,Walla Walla East,Washington,ALW
ALX,Thomas C Russell Field,US,Alexander City,Alabama,ALX
ALY,El Nohza,EG,,,ALY
ALZ,Alitak SPB,US,,,ALZ
AMA,Rick Husband Amarillo International Airport,US,,,AMA
AMB,Ambilobe,MG,Ambilobe,Diana,AMB
AMC,Am Timan,TD,Am Timan,Salamat,AMC
AMD,Ahmedabad Airport,IN,Naroda,Gujarat,AMD
AME,Alto Molocue,MZ,,,AME
AMF,Ama,PG,,,AMF
AMG,Amboin,PG,,,AMG
AMH,Arba Mintch Airport,ET,Arba Minch',"Southern Nations, Nationalities, and People's Region",AMH
AMI,Selaparang,ID,Mataram,West Nusa Tenggara,AMI
AMJ,Almenara,BR,Almenara,Minas Gerais,AMJ
AMK,Animas Airpark,US,,,DRO
AML,Puerto Armuellas,PA,Puerto Armuelles,Chiriqui,AML
AMM,Queen Alia International Airport,JO,Al Jizah,Amman,AMM
AMN,Gratiot Community,US,Alma,Michigan,AMN
AMO,Mao,TD,Mao,Kanem,AMO
AMP,Ampanihy,MG,Ampanihy,Atsimo-Andrefana,AMP
AMQ,Pattimura Airport,ID,Amahusu,Maluku,AMQ
AMR,Arno,MH,,,AMR
AMS,Amsterdam Airport Schiphol,NL,Aalsmeer,North Holland,AMS
AMT,Amata,AU,,,AMT
AMU,Amanab,PG,,,AMU
AMV,Amderma,RU,Vorgashor,Komi Republic,AMV
AMW,Ames,US,Ames,Iowa,AMW
AMX,Ammaroo,AU,,,AMX
AMY,Ambatomainty,MG,,,AMY
AMZ,Ardmore,NZ,Red Hill,Auckland,AMZ
ANA,John Wayne International,US,Anaheim,California,ANA
ANB,Anniston Metropolitan,US,Oxford,Alabama,ANB
ANC,Ted Stevens Anchorage International Airport,US,,,ANC
AND,Anderson,US,Centerville,South Carolina,AND
ANE,Angers-Marce Airport,FR,,,ANE
ANF,Cerro Moreno International Airport,CL,Antofagasta,Antofagasta,ANF
ANG,Brie-Champniers,FR,Champniers,Poitou-Charentes,ANG
ANH,Anuha Island Resort,SB,,,ANH
ANI,Aniak Airport,US,,,ANI
ANJ,Zanaga,CG,,,ANJ
ANK,Etimesgut,TR,Batikent,Ankara,ANK
ANL,Andulo,AO,Camacupa,Bie,ANL
ANM,Antsirabato,MG,Antalaha,Sava,ANM
ANN,Annette Island,US,,,ANN
ANO,Angoche,MZ,,,ANO
ANP,Lee,US,Annapolis,Maryland,ANP
ANQ,Tri-State Steuben County,US,Angola,Indiana,ANQ
ANR,Antwerp International Airport,BE,Mortsel,Flanders,ANR
ANS,Andahuaylas,PE,San Jeronimo,Apurimac,ANS
ANT,St Anton,AT,Sankt Anton am Arlberg,Tyrol,ANT
ANU,V.C. Bird International Airport,AG,Parham,Saint Peter,ANU
ANV,Anvik Airport,US,,,ANV
ANW,Ainsworth,US,Ainsworth,Nebraska,ANW
ANX,Andenes Airport,NO,Andenes,Nordland,ANX
ANY,Anthony,US,Anthony,Kansas,ANY
ANZ,Angus Downs,AU,,,ANZ
AOA,Aroa,PG,,,AOA
AOB,Annanberg,PG,,,AOB
AOC,Altenburg Nobitz,DE,Altenburg,Thuringia,AOC
AOD,Abou Deia,TD,,,AOD
AOE,Anadolu University,TR,,,ESK
AOG,Anshan Teng'ao Airport,CN,Anshan,Liaoning,AOG
AOH,Allen County,US,Lima,Ohio,AOH
AOI,Ancona Falconara Airport,IT,Falconara Marittima,The Marches,AOI
AOJ,Aomori Airport,JP,,,AOJ
AOK,Karpathos Airport,GR,Karpathos,South Aegean,AOK
AOL,Paso De Los Libres,AR,Paso de los Libres,Corrientes,AOL
AOM,Adam Airport,OM,,,AOM
AON,Arona,PG,,,AON
AOO,Altoona Airport,US,Martinsburg,Pennsylvania,AOO
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,PE,Alianza Cristiana,Loreto,AOP
AOR,Sultan Abdul Halim Airport,MY,Jitra,Kedah,AOR
AOS,Amook,US,,,AOS
AOT,Corrado Gex,IT,Chef-Lieu,Aosta Valley,AOT
AOU,Attopeu,LA,Attapu,Attapu,AOU
APA,Centennial Airport,US,,,DEN
APB,Apolo,BO,Mapiri,La Paz,APB
APC,Napa County,US,American Canyon,California,APC
APD,Arung Palakka Airport,ID,,,APD
APE,San Juan Aposento,PE,,,APE
APF,Naples Municipal Airport,US,Naples,Florida,APF
APG,Phillips AAF,US,Aberdeen,Maryland,APG
APH,Camp A P Hill,US,Bowling Green,Virginia,APH
API,Apiay,CO,Puerto Lopez,Meta,API
APJ,Ngari Burang Airport,CN,Burang,Ngari Prefecture,APJ
APK,Apataki,PF,,,APK
APL,Nampula Airport,MZ,Nampula,Nampula,APL
APN,Alpena County Regional Airport,US,Alpena,Michigan,APN
APO,Apartado Airport,CO,Carepa,Antioquia,APO
APP,Asapa,PG,,,APP
APQ,Arapiraca,BR,Arapiraca,Alagoas,APQ
APR,April River,PG,,,APR
APS,Anapolis,BR,Anapolis,Goias,APS
APT,Marion County,US,Powells Crossroads,Tennessee,APT
APU,Apucarana,BR,,,APU
APV,Apple Valley,US,Apple Valley,California,APV
APW,Faleolo Airport,WS,Satapuala,A'ana,APW
APX,Arapongas,BR,Apucarana,Parana,APX
APY,Alto Parnaiba,BR,Morros,Maranhao,APY
APZ,Zapala,AR,Zapala,Neuquen,APZ
AQA,Araraquara,BR,Araraquara,Sao Paulo,AQA
AQB,Quiche Airport,GT,Santa Cruz del Quiche,Quiche,AQB
AQG,Anqing Tianzhushan Airport,CN,Anqing,Anhui Sheng,AQG
AQI,Qaisumah Airport,SA,Al Qaysumah,Eastern Province,AQI
AQJ,King Hussein International Airport,JO,Aqaba,Aqaba,AQJ
AQM,Ariquemes,BR,Ariquemes,Rondonia,AQM
AQP,Rodriguez Ballon International Airport,PE,Arequipa,Arequipa,AQP
AQS,Saqani,FJ,,,AQS
AQY,Alyeska,US,,,AQY
ARA,Acadiana Regional,US,Cade,Louisiana,ARA
ARB,Municipal,US,Ann Arbor,Michigan,ARB
ARC,Arctic Village,US,,,ARC
ARD,Alor Island Airport,ID,Sifala,East Nusa Tenggara,ARD
ARE,Arecibo,PR,Bajadero,Arecibo,ARE
ARF,Acaricuara,CO,,,ARF
ARG,Walnut Ridge,US,Walnut Ridge,Arkansas,ARG
ARH,Talagi Airport,RU,Arkhangel'sk,Arkhangelskaya,ARH
ARI,Chacalluta Airport,CL,Arica,Arica y Parinacota,ARI
ARJ,Arso,ID,Arso,Papua,ARJ
ARK,Arusha Airport,TZ,Arusha,Arusha,ARK
ARL,Arly,BF,,,ARL
ARM,Armidale Airport,AU,Armidale,New South Wales,ARM
ARN,Stockholm Arlanda Airport,SE,Marsta,Stockholm,STO
ARO,Arboletas,CO,Arboletes,Antioquia,ARO
ARP,Aragip,PG,,,ARP
ARQ,Arauquita,CO,Arauquita,Arauca,ARQ
ARR,Alto Rio Senguerr,AR,Alto Rio Senguer,Chubut,ARR
ARS,Aragarcas,BR,Aragarcas,Goias,ARS
ART,Watertown Airport,US,Dexter,New York,ART
ARU,Aracatuba Airport,BR,Aracatuba,Sao Paulo,ARU
ARV,Noble F. Lee,US,Lac du Flambeau,Wisconsin,ARV
ARW,Arad,RO,Arad,Arad,ARW
ARX,Asbury Park,US,Shark River Hills,New Jersey,ARX
ARY,Ararat,AU,Ararat,Victoria,ARY
ARZ,N'zeto,AO,,,ARZ
ASA,Assab International,ER,,,ASA
ASB,Ashgabat Airport,TM,Ashgabat,Ahal,ASB
ASC,Ascension,BO,,,ASC
ASD,Andros Town,BS,,,ASD
ASE,Aspen Airport,US,Aspen,Colorado,ASE
ASF,Astrakhan Airport,RU,Yaksatovo,Astrakhan,ASF
ASG,Ashburton,NZ,Ashburton,Canterbury,ASG
ASH,Boire Field,US,Nashua,New Hampshire,ASH
ASI,Saint Helena Airport,SH,,,ASI
ASJ,Amami Airport,JP,,,ASJ
ASK,Yamoussoukro,CI,Yamoussoukro,Lacs,ASK
ASL,Harrison County,US,Marshall,Texas,ASL
ASM,Asmara International Airport,ER,Asmara,Maekel Region,ASM
ASN,Talladega,US,Talladega,Alabama,ASN
ASO,Asosa Airport,ET,,,ASO
ASP,Alice Springs Airport,AU,,,ASP
ASQ,Austin,US,,,ASQ
ASR,Kayseri Airport,TR,Kayseri,Kayseri,ASR
ASS,Arathusa Safari Lodge,ZA,,,ASS
AST,Astoria,US,Warrenton,Oregon,AST
ASU,Silvio Pettirossi International Airport,PY,Limpio,Central,ASU
ASV,Amboseli,KE,Namanga,Kajiado,ASV
ASW,Aswan Airport,EG,Aswan,Aswan,ASW
ASX,Ashland,US,Ashland,Wisconsin,ASX
ASY,Ashley,US,Ashley,North Dakota,ASY
ASZ,Asirim,PG,,,ASZ
ATA,Anta,PE,Anta,Ancash,ATA
ATB,Atbara,SD,Atbara,River Nile,ATB
ATC,Arthur's Town,BS,,,ATC
ATD,Atoifi,SB,,,ATD
ATE,Antlers,US,Antlers,Oklahoma,ATE
ATF,Chachoan,EC,San Miguel de Salcedo,Cotopaxi,ATF
ATG,Attock,PK,Akora,Khyber Pakhtunkhwa,ATG
ATH,Eleftherios Venizelos International Airport,GR,Spata,Attica,ATH
ATI,Artigas,UY,Artigas,Artigas,ATI
ATJ,Antsirabe,MG,Antsirabe,Vakinankaratra,ATJ
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,US,,,ATK
ATL,Hartsfield-Jackson Atlanta International Airport,US,,,ATL
ATM,Altamira Airport,BR,Altamira,Para,ATM
ATN,Namatanai,PG,,,ATN
ATO,Ohio University,US,Athens,Ohio,ATO
ATP,Airstrip,PG,,,ATP
ATQ,Sri Guru Ram Dass Jee International Airport,IN,Raja Sansi,Punjab,ATQ
ATR,Mouakchott,MR,Atar,Adrar,ATR
ATS,Artesia,US,Artesia,New Mexico,ATS
ATT,Atmautluak Airport,US,,,ATT
ATU,Casco Cove,US,,,ATU
ATV,Ati,TD,Ati,Batha,ATV
ATW,Outagamie County Regional Airport,US,Menasha,Wisconsin,ATW
ATX,Atbasar,KZ,Atbasar,Aqmola,ATX
ATY,Watertown Airport,US,Watertown,South Dakota,ATY
ATZ,Assiut Airport,EG,Asyut,Asyut,ATZ
AUA,Reina Beatrix International Airport,AW,Oranjestad,,AUA
AUB,Itauba Airport,BR,Itauba,Mato Grosso,AUB
AUC,Arauca Airport,CO,Arauca,Arauca,AUC
AUD,Augustus Downs,AU,,,AUD
AUE,Abu Rudeis,EG,,,AUE
AUF,Auxerre Branches,FR,Appoigny,Bourgogne,AUF
AUG,Augusta Airport,US,Augusta,Maine,AUG
AUH,Abu Dhabi International Airport,AE,,,AUH
AUI,Aua Island,PG,,,AUI
AUJ,Ambunti,PG,,,AUJ
AUK,Alakanuk Airport,US,,,AUK
AUL,Aur Island,MH,Aur,Aur Atoll,AUL
AUM,Austin,US,Austin,Minnesota,AUM
AUN,Auburn,US,Auburn,California,AUN
AUO,Auburn-Opelika,US,Auburn,Alabama,AUO
AUP,Agaun,PG,,,AUP
AUQ,Hiva Oa Airport,PF,,,AUQ
AUR,Aurillac Airport,FR,Aurillac,Auvergne,AUR
AUS,Austin-Bergstrom International Airport,US,Hornsby Bend,Texas,AUS
AUT,Atauro,ID,,,AUT
AUU,Aurukun Mission,AU,,,AUU
AUV,Aumo,PG,,,AUV
AUW,Municipal,US,Schofield,Wisconsin,AUW
AUX,Araguaina Airport,BR,Araguaina,Tocantins,AUX
AUY,Aneityum,VU,,,AUY
AUZ,Municipal Airport,US,Aurora,Illinois,AUZ
AVA,An Shun/Huang Guo Shu Airport,CN,Anshun,Guizhou Sheng,AVA
AVB,Aviano,IT,Roveredo in Piano,Friuli Venezia Giulia,AVB
AVG,Auvergne,AU,,,AVG
AVI,Maximo Gomez,CU,Ciro Redondo,Ciego de Avila,AVI
AVK,Arvaikheer,MN,Arvayheer,OEvoerhangay,AVK
AVL,Asheville Regional Airport,US,Fletcher,North Carolina,AVL
AVN,Avignon-Caumont Airport,FR,Noves,Provence-Alpes-Cote d'Azur,AVN
AVO,Municipal,US,Avon Park,Florida,AVO
AVP,Wilkes-Barre/Scranton International Airport,US,Avoca,Pennsylvania,AVP
AVR,Alverca,PT,Sobralinho,Lisbon,AVR
AVU,Avu Avu,SB,,,AVU
AVV,Avalon Airport,AU,Little River,Victoria,MEL
AVW,Avra Valley,US,Marana,Arizona,TUS
AVX,Avalon Bay,US,,,AVX
AWA,Awassa,ET,Hawassa,"Southern Nations, Nationalities, and People's Region",AWA
AWB,Awaba Airport,PG,Awaba,Western Province,AWB
AWD,Aniwa,VU,,,AWD
AWE,Alowe,GA,,,AWE
AWK,Wake Island,UM,,,AWK
AWM,Municipal,US,West Memphis,Arkansas,AWM
AWN,Alton Downs,AU,,,AWN
AWP,Austral Downs Airport,AU,,,AWP
AWR,Awar,PG,,,AWR
AWZ,Ahwaz Airport,IR,Ahvaz,Khuzestan,AWZ
AXA,Clayton J. Lloyd International Airport,AI,The Valley,,AXA
AXB,Alexandria Bay,US,Alexandria Bay,New York,AXB
AXC,Aramac,AU,,,AXC
AXD,Demokritos Airport,GR,Alexandroupoli,East Macedonia and Thrace,AXD
AXE,Xanxere,BR,Xanxere,Santa Catarina,AXE
AXF,Alxa Left Banner,CN,Bayan Hot,Inner Mongolia,AXF
AXG,Algona,US,Algona,Iowa,AXG
